 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
  44        1           4.8972          4.8972         41.7585         41.7585
  45        1           4.2589          4.2589         39.0593         39.0593
  46        1          16.0390         16.0390         72.2876         72.2876
  47        1          36.5389         36.5389        104.8572        104.8572
  48        1          43.2506         43.2506        112.6499        112.6499
  49        1         184.0488        184.0488        175.0948        175.0948
  50        1         253.5112        253.5112        145.2464        145.2464
  51        1         257.8828        257.8828        140.7540        140.7540
  52        1         257.9069        257.9069        140.0644        140.0644
  53        1         272.6778        272.6778        128.4438        128.4438
  54        1         276.3643        276.3643        124.9612        124.9612
  55        1         273.7487        273.7487        127.0985        127.0985
  56        1         280.2882        280.2882        121.0349        121.0349
  57        1         273.6295        273.6295        126.9870        126.9870
  58        1         272.7045        272.7045        127.6956        127.6956
  59        1         274.7162        274.7162        125.9041        125.9041
  60        1          -0.0161         -0.0161          0.0917          0.0917
  61        1          73.4719         73.4719        141.9015        141.9015
  62        1         101.7666        101.7666        156.1476        156.1476
  63        1         128.6762        128.6762        164.0643        164.0643
  64        1         146.2500        146.2500        166.7588        166.7588
  65        1         142.7558        142.7558        166.0253        166.0253
  66        1         151.4653        151.4653        166.7939        166.7939
  67        1         168.0138        168.0138        167.2225        167.2225
  68        1         176.6074        176.6074        166.7460        166.7460
  69        1         179.5314        179.5314        166.4155        166.4155
  70        1         191.3587        191.3587        164.9036        164.9036
  71        1         200.7484        200.7484        163.0537        163.0537
  72        1         257.7272        257.7272        146.5798        146.5798
  73        1         276.2094        276.2094        127.4785        127.4785
  74        1         293.2352        293.2352        108.2998        108.2998
  75        1         291.2916        291.2916        110.1308        110.1308
  76        1         299.1485        299.1485         99.8201         99.8201
  77        1         296.9709        296.9709        102.5695        102.5695
  78        1         284.1286        284.1286        117.2723        117.2723
  79        1         278.8593        278.8593        122.3494        122.3494
  80        1         283.4519        283.4519        117.7849        117.7849
  81        1         287.3147        287.3147        113.6764        113.6764
  82        1         286.4942        286.4942        114.4972        114.4972
  83        1         281.9763        281.9763        119.0870        119.0870
  84        1         285.6742        285.6742        115.2651        115.2651
  85        1         288.4366        288.4366        112.2568        112.2568
  87        1         118.0143        118.0143        164.9786        164.9786
  88        1         173.3604        173.3604        169.7198        169.7198
  89        1         190.9593        190.9593        167.1076        167.1076
  90        1         202.8777        202.8777        164.2457        164.2457
  91        1         214.7183        214.7183        160.5519        160.5519
  92        1         220.6920        220.6920        158.2929        158.2929
  93        1         232.4647        232.4647        153.3708        153.3708
  94        1         240.2261        240.2261        149.5419        149.5419
  95        1         226.5074        226.5074        155.6355        155.6355
  96        1         234.9601        234.9601        151.8711        151.8711
  97        1         243.4718        243.4718        147.5097        147.5097
  98        1         246.1065        246.1065        145.9862        145.9862
  99        1         238.8880        238.8880        149.7470        149.7470
 100        1         245.4146        245.4146        146.2531        146.2531
 101        1         246.4936        246.4936        145.5997        145.5997
 102        1         251.7994        251.7994        142.4328        142.4328
 103        1          -0.2614         -0.2614          0.0426          0.0426
 104        1          36.4649         36.4649        107.2848        107.2848
 105        1          24.0869         24.0869         88.5665         88.5665
 106        1          29.6411         29.6411         96.8904         96.8904
 107        1          16.4618         16.4618         74.1679         74.1679
 108        1          21.0726         21.0726         82.8628         82.8628
 109        1          49.5313         49.5313        119.9841        119.9841
 110        1          49.2073         49.2073        119.5465        119.5465
 111        1          53.9142         53.9142        123.9104        123.9104
 112        1          61.3873         61.3873        130.2347        130.2347
 113        1          64.2000         64.2000        132.3846        132.3846
 114        1          69.5154         69.5154        136.2582        136.2582
 115        1          67.8842         67.8842        135.0251        135.0251
 116        1          -0.7213         -0.7213          0.2309          0.2309
 117        1          -0.6542         -0.6542          0.2215          0.2215
 118        1          11.6690         11.6690         63.9082         63.9082
 119        1           8.6160          8.6160         55.3424         55.3424
 120        1           6.7874          6.7874         49.4973         49.4973
 121        1          31.9856         31.9856         99.7810         99.7810
 122        1          33.7900         33.7900        102.0635        102.0635
 123        1          30.5801         30.5801         97.6015         97.6015
 124        1          41.5605         41.5605        111.3203        111.3203
 125        1          46.3145         46.3145        116.3808        116.3808
 126        1          46.9365         46.9365        116.9521        116.9521
 127        1          50.5945         50.5945        120.5269        120.5269
 128        1          50.8628         50.8628        120.7392        120.7392
 129        1          57.5529         57.5529        126.7783        126.7783
 130        1          65.2864         65.2864        140.0926        140.0926
 131        1          77.1217         77.1217        145.2710        145.2710
 150        1           9.4262          9.4262         58.7128         58.7128
